YEAR,KACHCHH,BANASKANTHA,PATAN,MAHESANA,SABARKANTHA,GANDHINAGAR,AHMADABAD,SURENDRANAGAR,RAJKOT,JAMNAGAR,PORBANDAR,JUNAGADH,AMRELI,BHAVNAGAR,ANAND,KHEDA,PANCH MAHALS,DOHAD,VADODARA,NARMADA,BHARUCH,THE DANGS,NAVSARI,VALSAD,SURAT,TAPI,ARAVALLI,BOTAD,DEVBHOOMI DWARKA,GIR SOMNATH,MAHISAGGER,CHHOTAUDEPUR,MORBI
2005,250347,488421,169643,280856,364583,203046,655203,266857,343483,221330,82236,404439,215632,410897,299571,335636,362586,306273,363142,88593,176151,446666,44440,165422,209547,NA,NA,NA,NA,NA,NA,NA,NA
2006,261255,506464,175152,282234,365611,212286,694810,274704,374925,232990,84583,413616,220807,439038,305643,341279,369375,348132,365317,89409,219770,538738,46397,161477,216849,NA,NA,NA,NA,NA,NA,NA,NA
2007,268527,512882,193677,276790,361523,208775,747525,268300,378560,232574,81752,416835,214315,458563,298869,341539,375870,355506,382239,87303,218405,559887,47524,157855,220554,NA,NA,NA,NA,NA,NA,NA,NA
2008,282804,516228,191487,275335,359456,213696,741839,266705,374935,229964,80412,409678,225429,459112,292814,340155,374296,355424,418480,84365,215661,452706,48346,172271,223093,107586,NA,NA,NA,NA,NA,NA,NA
2009,293618,530207,204069,279300,356214,206538,762447,262909,386858,224485,82400,403318,220838,439984,294930,332788,372165,362332,458113,84010,213973,490815,49363,170541,224316,107860,NA,NA,NA,NA,NA,NA,NA
2010,314121,550860,206774,292546,361181,207559,788703,271955,444350,227195,84948,402640,213866,449068,299698,333493,376244,365256,492892,84430,216363,588923,55837,169077,236625,107546,NA,NA,NA,NA,NA,NA,NA
2011,333361,561226,212654,291352,368618,212257,841783,279265,466647,234477,86122,408265,213692,451893,297288,335132,387314,373808,505144,84440,218858,635647,58614,170429,242032,106649,NA,NA,NA,NA,NA,NA,NA
2012,360917,598629,230573,315421,397608,235788,953488,297675,544647,296127,90670,426641,217973,484376,330938,356794,416274,411913,575574,89435,237575,748555,58070,174867,252649,111918,NA,NA,NA,NA,NA,NA,NA
2013,368160,601023,230456,311739,393175,239773,985830,294167,545560,304235,87390,410456,217030,470193,317561,347747,410262,410063,580174,87668,233213,795549,57304,168677,252371,109695,NA,NA,NA,NA,NA,NA,NA
2014,371429,596708,225917,303435,227509,237184,964138,255398,427428,193125,83077,198321,205863,379539,309580,299822,275073,407436,424842,85856,226228,824841,57163,164546,250167,106052,160295,109969,112377,193446,163297,149401,152989
